"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","Sub-group","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP-rating","DSSAT-rating","APSIM-rating","CropSyst","","","","","","","","","",""
"harvest_dap","11","HDAP","4","HDAP","40","","Growth stage as days after planting","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Harvest day",".","10","800","","1","","","","","","","","","","","","","","",""
"harvest_date","12","HDATE","5","HDATE","40","","Growth stage date, harvest","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","",".","HDAT","1","99,365","","1","","","","","","","","","","","","","","",""
"emergence_date","14","PLDAE","5","PLDAE","41","","Growth stage date, emergence","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","",".","","1","366","","1","","0","","","","","","","","","","","","",""
"growth_stage_harvest","20","GSTH","4","GSTH","","","Growth stage when harvest occurs","code","text","5","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","HSTG","","","","1","-1","","","","","","","","","","","","","",""
"panicle_initiation_dap","22","IDAP","4","IDAP","","","Growth stage of panicle initiation, as days after planting ","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Panicle in day",".","10","","","1","-1","","","","","","","","","","","","","",""
"first_pod_set_days","18","PD1P","4","PD1P","","","Growth stage of first pod, as days after planting","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Pod 1 day yd",".","10","","","1","-1","","","","","","","","","","","","","",""
"full_pod_days","13","PDFP","4","PDFP","","","Growth stage of full-sized pod, as days after planting","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Full pod day",".","10","","","1","-1","","","","","","","","","","","","","",""
"harvest_maturity_dap","20","R8AP","4","R8AP","","","Growth stage days>planting, harv mature","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Harv maturity",".","10","","","1","-1","","","","","","","","","","","","","",""
"harvest_mat_dap_stdev","21","R8APS","","R8APS","","","Standard deviation of harvest maturity DAP","dap","","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","","","","0","-1","","","","","","","","","","","","","",""
"tuber_initiation_dap","20","TDAP","4","TDAP","","","Growth stage days>planting, tuber init","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Tuber init day",".","10","","","1","-1","","","","","","","","","","","","","",""
"growth_stage_apex_1_cm","22","AP1D","4","AP1D","","","Growth stage date, apex 1cm","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","APEX 1cm day",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"growth_stage_branch_1","21","BR1D","4","BR1D","","","Growth stage date for branch 1","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","BRANCH 1 YrDoy",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"growth_stage_branch_2","21","BR2D","4","BR2D","","","Growth stage date, branch 2","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","BRANCH 2 YrDoy",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"growth_stage_branch_3","21","BR3D","4","BR3D","","","Growth stage date, branch 3","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","BRANCH 3 YrDoy",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"growth_stage_branch_4","21","BR4D","4","BR4D","","","Growth stage date, branch 4","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","BRANCH 4 YrDoy",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"double_ridge_date","17","DRID","4","DRID","","","Growth stage date, double ridges","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","DOUBLE RIDgES d",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"ear_emergence_date","18","EEMD","4","EEMD","","","Growth stage date, ear emergence","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","EAR EMERgENCE d",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"forcing_date","12","FDAT","4","FDAT","","","Forcing date","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Forcing date",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"panicle_initiation_date","23","IDAT","4","IDAT","","","Growth stage of panicle initiation, as date","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Panicle in date",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"jointing_date","13","JDAT","","JDAT","","","Growth stage of jointing (node detectable through sheath) in cereals","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","","","","","","","","","","","","","","","","","","",""
"leaf_3_full_expansion","21","LF3D","4","LF3D","","","Growth stage date, leaf3 full expansion","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","LEAF 3 FULL day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"leaf_5_full_expansion","21","LF5D","4","LF5D","","","Growth stage date, leaf5 full expansion","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","LEAF 5 FULL day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"last_leaf_stage","15","LLFD","4","LLFD","","","Growth stage date, last leaf","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","LAST LEAF day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"maturity_day_2","14","MDAT2","5","MDAT2","","","Date of physiological maturity using alternate criteria","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","10","","","1","-1","","","","","","","","","","","","","",""
"first_pod_set_date","18","PD1T","4","PD1T","","","Growth stage of first pod, as date","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Pod 1 date yd",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"full_size_pod_date","18","PDFT","4","PDFT","","","Growth stage of full-sized pod, as date","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","First pod date",".","1","99,365","D","1","-1","","","","","","","","","","","","","",""
"beginning_bloom_stage","21","R1AT","4","R1AT","","","Growth stage date, beginning bloom","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","First bloom",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"beginning_peg_stage","19","R2AT","4","R2AT","","","Growth stage date, beginning peg","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","First peg",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"beginning_pod_stage","19","R3AT","4","R3AT","","","Growth stage date, beginning pod","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","First pod",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"full_size_pod_stage","19","R4AT","4","R4AT","","","Growth stage date, full-sized pod","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Full pod","PDFT","1","99,365","","1","-1","","","","","","","","","","","","","",""
"beginning_seed_stage","20","R5AT","4","R5AT","","","Growth stage date, beginning seed","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","First seed",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"full_seed_stage","15","R6AT","4","R6AT","","","Growth stage date, full seed","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Full seed",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"beginning_maturity_date","23","R7AT","4","R7AT","","","Growth stage date, beginning maturity","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","First maturity",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"harvest_maturity_stage","22","R8AT","4","R8AT","","","Growth stage date, harvest maturity","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Harv maturity",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"pod_over-mature_stage","21","R9AT","4","R9AT","","","Growth stage date, pod over-mature","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Over-mature",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"tuber_initiation_stage","22","TDAT","4","TDAT","","","Growth stage date, tuber initiation","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Tuber init date",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"terminal_spikelet_stage","23","TSPD","4","TSPD","","","Growth stage date, terminal spikelet","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","TERMINAL SPKL d",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"zadoks_21_growth_stage","22","Z21D","4","Z21D","","","Growth stage date, Zadoks 21","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","ZADOKS 21 day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"zadoks_30_growth_stage","22","Z30D","4","Z30D","","","Growth stage date, Zadoks 30","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","ZADOKS 30 day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"zadoks_31_growth_stage","22","Z31D","4","Z31D","","","Growth stage date, Zadoks 31","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","ZADOKS 31 day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"zadoks_37_growth_stage","22","Z37D","4","Z37D","","","Growth stage date, Zadoks 37","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","ZADOKS 37 day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"zadoks_39_growth_stage","22","Z39D","4","Z39D","","","Growth stage date, Zadoks 39","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","ZADOKS 39 day",".","1","99,365","","1","-1","","","","","","","","","","","","","",""
"first_square_date","17","SQDAT","5","SQDAT","","","Date of first square on plant","day","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","0","366","","1","-1","","","","","","","","","","","","","",""
"anthesis_dap_stdev","18","ADAPS","","ADAPS","","","Standard deviation of anthesis DAP","dap","","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","","","","0","","","","","","","","","","","","","","",""
"phys_mat_dap_stdev","18","MDAPS","","MDAPS","","","Standard deviation of physiological maturity DAP","dap","","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","","","","0","","","","","","","","","","","","","","",""
"growing_season_duration","23","GSLEN","","GSLEN","","","Length of time between planting and harvest dates","days","","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","2020-06-08, CHP","","","","","","0","","","","","","","","","","","","","","",""
"OID","3","OID","","OID","0","1","","","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","0","","","","","","","1","-2","","","","","","","","","","","","","",""
"treatment_lev_ID","16","OBS_TRT_ID","10","OBS_TRT_ID","1","","Treatment id for observed data, unique internal ID","number","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","0","","","","","","","1","-2","","","","","","","","","","","","","",""
"harvest_yld_matur_dry_wt","24","HWAM","4","HWAM","1","","Harvest yield at harvest maturity (dry wt)","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Mat yield kg/ha",".","0","","","1","","","","","","","","","","","","","","",""
"tops_dry_weight_maturity","24","CWAM","4","CWAM","2","","Tops dry weight at maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Tops wt kg/ha",".","0","","","1","","","","","","","","","","","","","","",""
"tops_dry_weight_harvest","23","CWAH","4","CWAH","2","","Tops dry weight at harvest","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","",".","0","","","1","","","","","","","","","","","","","","",""
"roots_dry_weight_harvest","24","RWAH","4","RWAH","2","","Roots dry weight at harvest","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2019-08-02, CHP","",".","0","","","1","","","","","","","","","","","","","","",""
"plant_density_emergence","23","PLPAE","5","PLPAE","2","","Plant density (population or stand) at full emergence, equivalent to initial stand count","number/m2","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","","","","","","","","","","","","","","","","","","","","",""
"plant_density_maturity","22","PLPAM","5","PLPAM","2","","Plant density (population or stand) at maturity","number/m2","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2015-10-12, chp","",".","0","","","1","","","","","","","","","","","","","","",""
"plant_density_harvest","21","PLPAH","5","PLPAH","2","","Plant density (population or stand) at harvest","number/m2","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2015-10-12, chp","",".","0","","","1","","","","","","","","","","","","","","",""
"leaf_area_index_maximum","23","LAIX","4","LAIX","3","","Leaf area index, maximum","m2/m2","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","LAI maximum",".","0","","","1","","","","","","","","","","","","","","",""
"grain_oil_conc_maturity","23","GL%M","4","GLPCM","","","Grain oil concentration at maturity","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","grain oil%,matu",".","0","50","","1","-1","","","","","","","","","","","","","",""
"grain_protein_conc_matur","24","GPR%M","5","GPRCM","","","Grain protein concentration at maturity","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","grain protein%,matu",".","0","50","","1","-1","","","","","","","","","","","","","",""
"grain_starch_conc_matur","23","GS%M","4","GSPCM","","","Grain starch concentration at maturity","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","grain starch%,matu",".","0","50","","1","-1","","","","","","","","","","","","","",""
"grain_gluten_conc_matur","23","GG%M","4","GGPCM","","","Grain gluten concentration at maturity","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","grain gluten %, mat","","","","","","","","","","","","","","","","","","","",""
"purity","6","HPRH","4","HPRH","","","Purity of sugar, e.g. extract from cane","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Purity %",".","0","100","","1","-1","","","","","","","","","","","","","",""
"threshing_%_at_maturity","23","THAM","4","THAM","","","Threshing % at maturity","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Threshing %",".","0","100","","1","-1","","","","","","","","","","","","","",""
"eye_weight","10","EWUM","4","EWUM","","","Eye weight at harvest maturity","g/eye","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Eye wt. (g)",".","0","","","1","-1","","","","","","","","","","","","","",""
"lint_weight_maturity","20","LIWAM","5","LIWAM","","","Lint weight at maturity","g/m2","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","","","0","","","1","-1","","","","","","","","","","","","","",""
"lint_fraction_maturity","","LIFAM","","LIFAM","","","Lint fraction at maturity","g[lint]/g[harvested]","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","0","100","","1","-1","","","","","","","","","","","","","",""
"fiber_length","","FILEN","","FILEN","","","Fiber length","cm","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","0","","","1","-1","","","","","","","","","","","","","",""
"fiber_uniformity","","FIBUI","","FIBUI","","","Fiber uniformity index, ratio between the mean length and the upper half mean length of fibers","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","0","100","","1","-1","","","","","","","","","","","","","",""
"fiber_strength","","FISTR","","FISTR","","","Fiber strength","g[force]/tex","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","0","","","1","-1","","","","","","","","","","","","","",""
"fiber_micronaire","","FIMIC","","FIMIC","","","Fiber micronaire, measure of the air permeability of compressed cotton fibers fiber, an indication of fineness and maturity","unitless","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","3","6","","1","-1","","","","","","","","","","","","","",""
"fiber_color_grade_Rd","","FICRD","","FICRD","","","Fiber color grade, HVI Rd reflectance","unitless","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","","","","1","-1","","","","","","","","","","","","","",""
"fiber_color_grade_B","","FICPB","","FICPB","","","Fiber color grade, HVI +B yellowness","unitless","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","","","","1","-1","","","","","","","","","","","","","",""
"fiber_HVI_trash","","FITRS","","FITRS","","","Percent of fiber surface area occupied by trash particles","%","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","2021-05-03, CHP","","","0","100","","1","-1","","","","","","","","","","","","","",""
"harv_yld_grn_fr_pl_mat","22","GFPM","4","GFPM","","","Harvest yield (grain, fresh), per plant at maturity","g/[plant]","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","GRAIN YLD g/[plant]",".","0","","","1","-1","","","","","","","","","","","","","",""
"grain_dry_wt_matur_plnt","23","GWPM","4","GWPM","","","Grain dry wt at maturity, per plant basis","g/[plant]","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","GRAIN WT g/[plant]",".","0","","","1","-1","","","","","","","","","","","","","",""
"unit_dry_wt_harv_matur","22","HWUM","4","HWUM","","","Harvest unit dry (e.g., seed) weight at harv. maturity","g/unit","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Weight g/unit",".","0","","","1","-1","","","","","","","","","","","","","",""
"byprod_removed_at_matur","23","BWAM","4","BWAM","","","By-product weight at maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","","","0","","","1","-1","","","","","","","","","","","","","",""
"tops_dead_dry_wt_anthes","23","CDWA","4","CDWA","","","Tops+dead dry wt at anthesis","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","CANOPY+D kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"cane_yield_harv","15","CFAH","4","CFAH","","","Cane fresh yield at harvest","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","F cane yl kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"chaff_dry_weight_harvest","24","CHWA","4","CHWA","","","Chaff dry weight, harvest","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","CHAFF WT kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"tops_dry_weight_anthesis","24","CWAA","4","CWAA","","","Tops dry weight at anthesis","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Tops wt,anthsis",".","0","","","1","-1","","","","","","","","","","","","","",""
"tops_dw_mat_stdev","17","CWAMS","","CWAMS","","","Standard deviation of tops weight, maturity","kg/ha","","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","","","","","","0","-1","","","","","","","","","","","","","",""
"harv_yld_grn_fresh_matur","24","GFAM","4","GFAM","","","Harvest yield (grain, fresh), maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","GRAIN YLD kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"grain_dry_wt_at_maturity","24","GWAM","4","GWAM","","","Grain dry wt at maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","GRAIN WT kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"harv_yield_matur_f_wt","21","HFAM","4","HFAM","","","Harvest yield at harvest maturity (fresh wt)","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","HARVEST kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"yield_corrected","15","HWAC","4","HWAC","","","Harvest yield corrected for various factors","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","","","0","","","1","-1","","","","","","","","","","","","","",""
"leaf_dry_wt_at_maturity","23","LWAM","4","LWAM","","","Leaf dry weight at harvest maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","LEAF WT kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"pod_dry_weight_maturity","23","PWAM","4","PWAM","","","Pod dry weight at maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Pod wt kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"tot_dry_wt_at_harvest","21","TWAH","4","TWAH","","","Total dry weight at harvest","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Total wt kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"tot_dry_weight_maturity","23","TWAM","4","TWAM","","","Total dry weight at maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","TOTAL WT kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"tuber_dry_wt_at_harvest","23","UWAH","4","UWAH","","","Tuber dry weight at harvest","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Tuber kg dm/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"vegetative_dry_wt_matur","23","VWAM","4","VWAM","","","Veg (leaf+stem) dry wt, maturity","kg/ha","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","Veg WT kg/ha",".","0","","","1","-1","","","","","","","","","","","","","",""
"test_wt_fresh_maturity","22","GYFVM","5","GYFVM","","","Test weight (fresh) at maturity","kg/l","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","TEST WT kg/hl",".","0","","","1","-1","","","","","","","","","","","","","",""
"grain_ethanol_yield","19","GETM","4","GETM","","","Ethanol yield of grain","l/kg","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH","2503","1","","grain oil%,matu",".","0","50","","1","-1","","","","","","","","","","","","","",""
