"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","SubGroup","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP_rating","DSSAT_rating","APSIM_rating","CYCLES","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"chemical_applic_level","21","CH","2","CH","1","","Chemicals application level, liks to CHEMICALS table","number","single","","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","0","",".","MC","","","","1","-2","0","","","","","","","","","","","","",""
"chemical_applic_year","20","CHYR","4","CHYR","2","1","Chemicals application year","year","single","","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"chemical_applic_day","19","CHDAY","5","CHDAY","3","1","Chemicals application day of year or DAP if year = -99","day","single","","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","0","",".",".","0","366","","1","-2","0","","","","","","","","","","","","",""
"chemical_applic_material","24","CHCD","4","CHCD","4","","Chemicals application material","code","text","10","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","1","",".","CHCOD","","","","1","-1","0","","","","","","","","","","","","",""
"chemical_applic_method","22","CHACD","5","CHACD","5","","Chemicals application method","code","text","10","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","1","",".","CHME","","","","1","-1","0","","","","","","","","","","","","",""
"application_depth_chem","22","CHDEP","5","CHDEP","6","","Chemicals application depth","cm","single","","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"chemical_applic_amount","22","CHAMT","5","CHAMT","7","","Chemicals application amount (active)","kg/ha","single","","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"chemical_applic_target","22","CH_TARGETS","10","CH_TARGETS","8","","Chemicals application target","code","text","10","EXPERIMENT","MANAGEMENT","CHEMICALS","CHEMICAL_APPLICS","2112","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","TILLAGE","","2121","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_level","13","TI","2","TI","1","","Tillage operation level","number","single","","EXPERIMENT","MANAGEMENT","TILLAGE","","2121","0","",".","MC","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_treatment_name","22","TI_NAME","7","TI_NAME","2","","Tillage, name assigned to treatments over trial","text","text","70","EXPERIMENT","MANAGEMENT","TILLAGE","","2121","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_treatment_notes","23","TI_NOTES","8","TI_NOTES","3","","Tillage notes, extensive comments on practices","text","memo","","EXPERIMENT","MANAGEMENT","TILLAGE","","2121","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"tillage_practice","16","TI_PRACTICE","11","TI_PRACTICE","3","","Tillage type","code","text","","EXPERIMENT","MANAGEMENT","TILLAGE","","2121","0","2014-03-14, chp",".",".","","","","1","","0","","","","","","","","","","","","",""
"tillage_event_tot","17","TI_#","","TI_NO","4","","Total tillage operations, cumulative for season","number","single","","EXPERIMENT","MANAGEMENT","TILLAGE","","2121","0","","","","","","","1","","0","","","","","","","","","","","","",""
"tillage_date","12","TDATE","5","TDATE","-99","","Tillage date","date","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","1","",".",".","1","99,365","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_level","13","TI","2","TI","1","","Tillage operation level","number","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_operations_year","23","TIYR","4","TIYR","2","1","Tillage operations year","year","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_operations_day","22","TIDAY","5","TIDAY","3","1","Tillage operations day","day","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","0","",".",".","0","366","","1","-2","0","","","","","","","","","","","","",""
"tillage_operation_name","22","TI_OP_NAME","10","TI_OP_NAME","4","","Tillage operations, name of specific event","text","text","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"tillage_order","13","TIORD","5","TIORD","5","","Tillage operations order within a single day","number","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","1","",".",".","1","","","1","-1","0","","","","","","","","","","","","",""
"tillage_implement","17","TIIMP","5","TIIMP","6","","Tillage implement","code","text","5","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"tillage_operations_depth","24","TIDEP","5","TIDEP","7","","Tillage operations depth","cm","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","1","",".","TDEP TLDD","0","200","","1","","0","","","","","","","","","","","","",""
"till_mix_effectiveness","22","TIMIX","5","TIMIX","8","","Tillage operations mixing effectiveness","%","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","1","",".",".","0","100","","1","","0","","","","","","","","","","","","",""
"till_disturb_ratio","18","TIDIS","5","TIDIS","8","","Tillage operations soil disturbance ratio, a relative value that indicates the extent to which the tillage operation speeds up decomposition rate of the soil microbial biomass and stabilized soil C pools. ","fraction","single","","EXPERIMENT","MANAGEMENT","TILLAGE","TILLAGE_EVENTS","2122","1","2018-06-19 chp",".",".","0","30","","1","","0","","","x","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","","2131","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"environmental_modif_lev","23","EM","2","EM","1","","Environmental modifications level","number","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","","2131","0","",".","ME","","","","1","-2","0","","","","","","","","","","","","",""
"environ_modif_name","18","EM_NAME","7","EM_NAME","2","","Environmental modifications level name","text","text","31","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","","2131","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_comments","16","EM_NOTES","8","EM_NOTES","3","","Environmental modifications, extended comments","text","memo","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","","2131","0","","","","","","","1","","0","","","","","","","","","","","","",""
"environ_modificat_date","18","EMDATE","5","EMDATE","-99","","Environmental modifications date","date","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","1","99,365","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"environmental_modif_lev","23","EM","2","EM","1","","Environmental modifications level, links to EM table","number","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","0","",".","ME","","","","1","-2","0","","","","","","","","","","","","",""
"environ_modificat_year","22","EMYR","4","EMYR","2","1","Environmental modifications year","year","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"environ_modificat_day","21","EMDAY","5","EMDAY","3","1","Environmental modifications date","doy","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","0","",".",".","1","99,365","","1","-2","0","","","","","","","","","","","","",""
"environ_mod_code_daylen","23","ECDYL","5","ECDYL","4","","Environmental modific.code, daylength","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_daylen","20","EMDYL","5","EMDYL","5","","Environmental modification, daylength","h","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"environ_mod_code_radiat","23","ECRAD","5","ECRAD","6","","Environmental modific.code, radiation","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_solar_rad","23","EMRAD","5","EMRAD","7","","Environmental modification,radiation","MJ/(m2.d)","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_mod_code_tmax","21","ECMAX","5","ECMAX","8","","Environmental modific.code, maximum temperature","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_max_temp","22","EMMAX","5","EMMAX","9","","Environmental modification, maximum temperature","degree_C","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_mod_code_tmin","21","ECMIN","5","ECMIN","10","","Environmental modific.code, minimum temperature","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_min_temp","22","EMMIN","5","EMMIN","11","","Environmental modification, minimum temperature","degree_C","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_code_rain","23","ECRAI","5","ECRAI","12","","Environmental modific.code, rain","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_rain","18","EMRAI","5","EMRAI","13","","Environmental modification,rain","mm","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_code_CO2","22","ECCO2","5","ECCO2","14","","Environmental modific.code, CO2","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_CO2","17","EMCO2","5","EMCO2","15","","Environmental modification, CO2","ppm","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_mod_code_dewpt","22","ECDEW","5","ECDEW","16","","Environmental modific.code, dewpoint","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_dew_pt","20","EMDEW","5","EMDEW","17","","Environmental modification, dewpoint","degree_C","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_code_wind","23","ECWND","5","ECWND","18","","Environmental modific.code, wind","code","text","5","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"environ_modif_wind","18","EMWND","5","EMWND","19","","Environmental modification,wind","km/d","single","","EXPERIMENT","MANAGEMENT","ENVIRON_MODIFICATIONS","ENVIRON_MODIF_LEVELS","2132","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","HARVESTS","","2141","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_operations_level","24","HA","2","HA","1","","Harvest operations level","number","single","","EXPERIMENT","MANAGEMENT","HARVESTS","","2141","0","",".","","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_ops_level_name","22","HA_NAME","7","HA_NAME","2","","Harvest operations level name","text","text","5","EXPERIMENT","MANAGEMENT","HARVESTS","","2141","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_notes","13","HA_NOTES","8","HA_NOTES","3","","Harvest, short notes","text","text","40","EXPERIMENT","MANAGEMENT","HARVESTS","","2141","0","","","","","","","1","","0","","","","","","","","","","","","",""
"harvest_comments","16","HA_COMMENTS","11","HA_COMMENTS","4","","Harvest, extended comments on harvest procedures","text","memo","","EXPERIMENT","MANAGEMENT","HARVESTS","","2141","0","","","","","","","1","","0","","","","","","","","","","","","",""
"harvest_operations_date","23","HADAT","5","HADAT","-99","","Harvest operations date (prefereably as yyyy-mm-dd)","date","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","",".",".","0","366","","1","","2","2","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_operations_level","24","HA","2","HA","1","","Harvest operations level, links to HARVEST table","number","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","0","",".","","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_operations_year","23","HAYR","4","HAYR","2","1","Harvest operations year","year","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_operations_day","22","HADAY","5","HADAY","3","1","Harvest operations day, DAP if year = -99","day","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","0","",".",".","0","366","","1","-2","0","","","","","","","","","","","","",""
"harvest_crop","12","HACR","4","HACR","5","","Harvest operations, crop harvested","code","text","5","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","2016-04-04, CHP",".",".","","","","1","","0","","","","","","","","","","","","",""
"harvest_stage","13","HASTG","5","HASTG","4","","Harvest, growth stage of crop at date","code","text","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","","","","","","","1","","0","","","","","","","","","","","","",""
"harvest_operat_component","24","HACOM","5","HACOM","5","","Harvest operations, crop component harvested","code","text","5","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"harvest_method","14","HARM","4","HARM","6","","Harvest method","code","text","5","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"harvest_area","12","HAREA","5","HAREA","7","","Harvest area","ha","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","2019-09-12, chp - changed to ha",".",".","0","","","1","","0","","","","","","","","","","","","",""
"harvest_amount","","HAMT","","HAMT","9","","Harvest, total amount removed as mass","kg/ha","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","2013-03-06, JWW","","","","","","1","","0","","","","","","","","","","","","",""
"harv_operat_main_product","24","HAP%","4","HAPPC","10","","Harvest operations, percent economic product harvested","%","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","",".","HPC","0","100","","1","","0","","","","","","","","","","","","",""
"harv_operation_byproduct","24","HAB%","4","HABPC","11","","Harvest operations, percent of by-product harvested","%","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","",".",".","0","100","","1","","0","","","","","","","","","","","","",""
"harv_operat_size_categor","24","HASIZ","5","HASIZ","13","","Harvest operations size category","code","text","5","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","",".","HSIZ","","","","1","-1","0","","","","","","","","","","","","",""
"harvest_cut_height","","HAHT","","HAHT","14","","Harvest, height of cut","cm","single","","EXPERIMENT","MANAGEMENT","HARVESTS","HARVEST_EVENTS","2142","1","2013-03-06, JWW","","","","","","1","","0","","","","","","","","","","","","",""
"simulation_start_date","21","SDAT","4","SDAT","-99","","Simulation start date","date","single","","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","1","","Simulation date",".","1","99,365","D","0","","0","","","","","","","","","","","","",""
"simulation_end_date","21","ENDAT","4","ENDAT","-98","","Simulation end date","date","single","","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","1","2013-02-07, JWW","Simulation end",".","1","99,365","D","0","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","0","","","","","","","0","-2","0","","","","","","","","","","","","",""
"simulation_id","","SM","","SM","1","","SM","","single","","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","0","","","","","","","0","-2","0","","","","","","","","","","","","",""
"simulation_name","15","SNAME","5","SNAME","2","","Simulation scenario, name","text","text","31","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","0","","","","","","D","0","-2","0","","","","","","","","","","","","",""
"simulation_start_year","21","SC_YEAR","7","SC_YEAR","3","","Simulation start year","year","single","","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","1","","Simulation date",".","1","99,365","D","0","","0","","","","","","","","","","","","",""
"simulation_start_day","20","SCDAY","5","SCDAY","4","","Simulation start day of year","doy","single","","EXPERIMENT","MANAGEMENT","SIMULATION_CONTROLS","","2211","0","","Simulation date",".","1","99,365","D","0","-2","0","","","","","","","","","","","","",""
"soil_profile_methods","","METHODS","","METHODS","1","","Description of methods used to obtain profile data","text","memo","","SOILS","SOIL_METADATA","GENERAL","","4001","0","","","","","","","1","","0","","","","","","","","","","","","",""
"soil_notes","","SL_NOTES","","SL_NOTES","2","","Notes describing soil dataset","text","memo","","SOILS","SOIL_METADATA","GENERAL","","4001","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"distrib_restrictions","20","SL_DISTRIB","10","SL_DISTRIB","3","","Distribution limitations for the soils data set","text","memo","","SOILS","SOIL_METADATA","GENERAL","","4001","0","2013-02-14, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"file_version_sl","15","VERSION_SL","10","VERSION_SL","4","","File version for ICASA standard","text","text","78","SOILS","SOIL_METADATA","GENERAL","","4001","0","2013-04-18, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"revision_date_first_sl","22","REV_DATE_FIRST_SL","17","REV_DATE_FIRST_SL","5","","Date the file was first created","date","","","SOILS","SOIL_METADATA","GENERAL","","4001","0","2013-04-18, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"revision_date_latest_sl","23","REV_DATE_LATEST_SL","18","REV_DATE_LATEST_SL","6","","Date the file was last modified","date","","","SOILS","SOIL_METADATA","GENERAL","","4001","0","2013-04-18, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"revision_notes_sl","14","REVISION_NOTES_SL","14","REVISION_NOTES_SL","7","","Notes describing reasons for the revision","text","memo","","SOILS","SOIL_METADATA","GENERAL","","4001","0","2013-04-18, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_citation","13","sl_citation","11","sl_citation","1","","Full citation for soil data","text","text","","SOILS","SOIL_METADATA","GENERAL","","4001","0","","","","","","","3","","0","","","","","","","","","","","","",""
"soil_license","12","sl_license","10","sl_license","1","","License associated with soil data","text","text","","SOILS","SOIL_METADATA","GENERAL","","4001","0","","","","","","","3","","0","","","","","","","","","","","","",""
"person_level","12","PP","2","PP","1","1","id","","","","SOILS","SOIL_METADATA","PERSONS","","4011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_last_name","20","LAST_NAME","9","LAST_NAME","2","","Last name of researchers involved with the experiment(s) or data","text","text","31","SOILS","SOIL_METADATA","PERSONS","","4011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_first_name","21","FIRST_NAME","10","FIRST_NAME","3","","First name of researchers involved with the experiment(s) or data","text","text","31","SOILS","SOIL_METADATA","PERSONS","","4011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_name_mi","18","MID_INITIAL","11","MID_INITIAL","4","","Middle initial of researchers involved with the experiment(s) or data","text","text","10","SOILS","SOIL_METADATA","PERSONS","","4011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_role","15","PP_ROLE","7","PP_ROLE","5","","Role of researcher in experiment or dataset preparation","code","text","5","SOILS","SOIL_METADATA","PERSONS","","4011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_address","18","SL_ADDRESS","10","SL_ADDRESS","4","","Mailing address of researcher","","","","SOILS","SOIL_METADATA","PERSONS","","4011","0","2014-03-14, chp","","","","","","","","","","","","","","","","","","","","",""
"institute_ID_person","19","INP","3","INP","6","","Links to institutions","","single","","SOILS","SOIL_METADATA","PERSONS","","4011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"e_mail_address","14","SL_EMAIL","8","SL_EMAIL","7","","E-mail address of researcher","text","text","255","SOILS","SOIL_METADATA","PERSONS","","4011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"institute_ID","12","IN","2","IN","1","1","id","","single","","SOILS","SOIL_METADATA","INSTITUTIONS","","4021","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"institute_name","14","INST_NAME","9","INST_NAME","2","","Names of participating institute","text","text","60","SOILS","SOIL_METADATA","INSTITUTIONS","","4021","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"institute_type","14","IN_TYPE","7","IN_TYPE","3","","Type of participating institutions","code","single","","SOILS","SOIL_METADATA","INSTITUTIONS","","4021","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"institute_role","14","IN_ROLE","7","IN_ROLE","4","","Role of participating institutions","code","single","","SOILS","SOIL_METADATA","INSTITUTIONS","","4021","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"document_ID_sl","","DOC_ID_SL","2","DOC_ID_SL","1","1","id","","single","","SOILS","SOIL_METADATA","DOCUMENTS","","4031","0","2013-04-18, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"document_name_sl","","DOCUMENT_SL","8","DOCUMENT_SL","2","","Document name in abbreviated form","text","memo","255","SOILS","SOIL_METADATA","DOCUMENTS","","4031","0","2013-04-18, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"digital_object_identifier_sl","","DIGITAL_OBJ_ID_SL","","DIGITAL_OBJ_ID_SL","3","","Digital_object_identifier according to international standard","text","memo","255","SOILS","SOIL_METADATA","DOCUMENTS","","4031","0","2013-04-18, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"soil_ID","7","SID","3","SID","0","1","Unique soil identifier","number","single","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","","","","","","","1","","0","","","","","","","","","","","","",""
"soil_profile_ID","15","SOIL_ID","7","SOIL_ID","1","","Soil profile identifier","text","text","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","","","","","","","1","","2","2","","","","","","","","","","","",""
"soil_file_ID","12","SOIL_FILE_ID","12","SOIL_FILE_ID","2","","Soil profile file name","text","text","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"name_of_soil_profile","20","SOIL_NAME","9","SOIL_NAME","3","","Name of soil profile, usually the soil series name or equivalent. Use soil_site for specific profile locations.","text","text","31","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","","","","","","","1","","2","2","","","","","","","","","","","",""
"soil_site","9","SOIL_SITE","9","SOIL_SITE","3","","Name of site where soil profile data sampled","text","text","31","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","2014-03-17, chp","","","","","","1","","","","","","","","","","","","","","",""
"soil_location_country","21","SL_LOC_1","8","SL_LOC_1","4","","First admin for location of site for soil profile (usually country)","text","text","20","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"soil_loc_2nd_level","","SL_LOC_2","","SL_LOC_2","5","","Second admin level for location of site for soil profile (usually state or province)","text","text","20","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"soil_loc_3rd_level","","SL_LOC_3","","SL_LOC_3","6","","Third admin level for location of site for soil profile (usually county or municipality)","text","text","20","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"latitude_soil_profile","21","SOIL_LAT","8","SOIL_LAT","7","","Latitude of soil profile site","decimal_degrees","single","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","1","",".",".","-80","80","","1","","1","1","","","","","","","","","","","",""
"longitude_soil_profile","22","SOIL_LONG","9","SOIL_LONG","8","","Longitude of soil profile site","decimal_degrees","single","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","1","",".",".","-180","180","","1","","1","1","","","","","","","","","","","",""
"soil_site_elevation","19","SOIL_ELEV","9","SOIL_ELEV","9","","Elevation of soil profile site","m","single","31","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","1","","","","","","","1","","1","1","","","","","","","","","","","",""
"soil_sampling_date","","SOIL_DATE","","SOIL_DATE","","","Date soil was sampled in field (e.g., for profile description)","date","","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","","2017-03-17, jww","","","","","","","","","","","","","","","","","","","","",""
"soil_depth","10","SLDP","4","SLDP","44","","Soil depth","cm","single","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"soil_profile_slope","18","SL_SLOPE","8","SL_SLOPE","","","Slope where soil profile characterized","%","single","","SOIL","SOIL_PROFILES","PROFILE_METADATA","","4041","1","",".",".","0","90","","1","","1","1","","","","","","","","","","","",""
"soil_source","","SL_SOURCE","","SL_SOURCE","","","Source of soil data","text","","","SOIL","SOIL_PROFILES","PROFILE_METADATA","AGMIP","4042","0","","","","","","","0","","1","1","","","","","","","","","","","",""
"soil_ID","7","SID","3","SID","0","1","Unique soil identifier","number","single","","SOIL","SOIL_PROFILES","SOIL_PROFILE","","4051","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_profile_ID","15","SOIL_ID","7","SOIL_ID","1","","Soil profile identifier","text","text","","SOIL","SOIL_PROFILES","SOIL_PROFILE","","4051","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
